date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:37	27202/27202	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/v2/logo_white_text-7d0f0e2a5b590bd028ff5eee23c3a5095e2f816aa3e4ea90d9186a849d574ffd.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/v2/logo_white_text-7d0f0e2a5b590bd028ff5eee23c3a5095e2f816aa3e4ea90d9186a849d574ffd.png	(from https://connectmed.co.ke/doctor)
12:34:38	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fae7e4f-4d7%22	https://connectmed.co.ke/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://connectmed.co.ke/doctor)
12:34:38	19452/19452	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings-6d4c6e8b4745c697e41284ab8d3ea17342cfe30ae90c0693dfb098096648f36b.js	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings-6d4c6e8b4745c697e41284ab8d3ea17342cfe30ae90c0693dfb098096648f36b.js	(from https://connectmed.co.ke/doctor)
12:34:38	104/104	---MCZ	404	error ('Not%20Found')	application/json	date:Tue,%2017%20Nov%202020%2009:34:44%20GMT	http://js.hs-scripts.com/1889461.js	C:/Users/THIS%20PC/Desktop/Doctors/js.hs-scripts.com/1889461.1f.delayed	(from https://connectmed.co.ke/doctor)
12:34:40	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:34:45%20GMT	https://connectmed.co.ke/assets/star2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/star2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:41	1340/1340	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2009:34:46%20GMT	https://connectmed.co.ke/assets/sharpstar-grey64_2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/sharpstar-grey64_2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:42	1342/1342	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2009:34:47%20GMT	https://connectmed.co.ke/assets/sharpstar-purple264_2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/sharpstar-purple264_2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:43	1342/1342	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2009:34:48%20GMT	https://connectmed.co.ke/assets/sharpstar-pink64_2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/sharpstar-pink64_2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:44	1342/1342	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2009:34:49%20GMT	https://connectmed.co.ke/assets/sharpstar-darkpurple64_2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/sharpstar-darkpurple64_2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:44	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-13634da87d9e23f8c3ed9108ce1724d183a39ad072e73e1b3d8cbf646d2d0407.eot	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-13634da87d9e23f8c3ed9108ce1724d183a39ad072e73e1b3d8cbf646d2d0407.eot	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
